date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH_SECO,crea_recession
2011-12-31,-0.1853,0.1445,-0.3575,-0.1228,-0.5557,-1.1806,-0.1195,0.3999,0.0189,0.2443,1.3819,-0.0081,2.0360,0.2049,-0.2481,-0.6581,0.2375,-0.0876,0.2282,0.2863,-0.0574,0.1800,0.1820,0.2031,-0.0422,0.1848,0.0153,0
2012-03-31,-0.1589,0.4350,-0.1650,0.0787,-0.6905,-1.4083,0.0466,1.0097,0.0811,0.2896,-0.0376,0.4587,0.1012,0.4930,0.9234,-0.7493,0.2590,0.4020,0.4910,0.6135,0.4037,0.2767,0.5790,-0.2878,1.0225,0.6581,0.2937,0
2012-06-30,-0.1177,0.1675,-0.1092,0.0096,-0.3919,-1.2628,0.2156,0.7384,0.1646,0.3121,0.3168,0.2773,0.3135,0.2989,0.1499,-0.5340,0.2414,0.0097,0.3830,0.2579,0.4106,0.0986,0.1210,0.0362,0.7075,0.5377,0.1271,0
2012-09-30,0.6336,0.7377,0.9167,0.4649,0.1189,-0.2138,0.9593,0.9994,1.2463,0.8423,0.2762,1.1607,0.3115,1.7821,-0.0543,0.4621,0.6516,0.6188,1.0746,0.8771,1.0112,0.8422,0.4181,0.6197,1.8160,0.8603,0.7302,0
2012-12-31,0.1006,0.3636,0.4187,0.0767,-0.0114,-0.0549,0.8678,0.3183,0.8023,0.2985,1.2818,0.2133,0.2281,1.1997,-0.8773,0.1617,0.7099,0.0246,0.3234,-0.0492,0.6486,0.5258,0.0388,0.0172,1.4102,0.1108,0.1819,0
2013-03-31,0.8775,0.6030,1.1508,0.2705,0.3046,0.8974,1.3820,0.4997,1.1250,0.7974,0.6341,0.6353,0.1225,0.6406,-0.5730,0.8956,0.5331,0.2404,0.8822,0.4935,0.9598,1.3488,0.2173,0.3580,2.3933,0.4302,0.6367,0
2013-06-30,0.7065,1.1503,1.0039,0.6841,0.8046,1.1135,1.5930,0.7155,1.0850,0.6628,1.5872,1.0173,0.7072,1.2474,-0.2267,1.0696,0.5854,0.6170,0.7744,0.7253,1.3665,0.7151,0.7150,0.1936,1.7322,0.6678,0.7924,0
2013-09-30,0.9473,1.3544,0.8726,0.7422,1.1288,0.9833,1.3118,0.2843,1.0669,0.5214,2.2520,0.7789,1.2031,0.8598,0.1389,0.9982,0.6334,0.6779,0.4477,0.7270,0.8789,0.8206,0.6275,0.0261,0.4747,0.5377,0.7339,0
2013-12-31,0.4229,1.0375,0.1550,0.3713,0.5106,1.2137,0.6518,-0.0391,0.0745,0.1350,0.6154,0.3785,0.1752,-0.1035,-0.4643,0.2556,-0.7279,0.2678,-0.0489,0.1008,0.4946,-0.0336,0.5531,-0.1623,-1.4616,0.4455,0.2654,0
2014-03-31,0.1636,0.8850,-0.1275,0.4454,0.7367,1.0552,0.4631,0.0555,-0.3150,-0.0033,0.3910,0.3995,-0.1194,-0.5992,0.1359,0.2437,-0.8446,0.1044,-0.1511,0.3878,0.3352,-0.6959,0.6609,-0.3521,-2.3790,0.6889,0.3350,0
2014-06-30,0.5604,1.3657,0.6184,0.5773,1.2336,1.3303,0.6443,0.4230,0.4503,-0.0471,1.2444,0.7365,1.1393,1.4101,0.0936,0.5228,0.3362,0.5813,0.5543,0.4055,0.4730,0.0269,0.7532,0.4181,-0.6121,0.8372,0.6703,0
2014-09-30,0.5246,1.0758,0.7581,0.4108,1.2496,1.5921,0.7570,0.4500,0.3930,-0.0632,0.6652,0.7020,1.3183,1.1646,0.4802,0.5201,0.3435,0.6211,0.8246,0.4843,0.7378,0.3302,0.6377,0.8390,0.7416,0.7631,0.6687,0
2014-12-31,0.6355,0.5634,0.8613,0.3926,1.7949,0.8528,0.7739,0.7084,0.9622,-0.0241,-0.0780,0.8956,0.9094,3.0305,0.3668,0.4825,0.7929,0.5892,1.3725,0.3438,0.6675,0.3837,0.4548,1.3088,2.8654,0.8960,0.7772,0
2015-03-31,-0.6185,-0.6600,-0.1466,-0.6475,0.6853,1.4724,-0.0740,-0.3364,-0.3272,-1.1198,-1.4662,0.1199,0.5026,3.1002,-0.1227,-0.7606,-0.3793,-0.4262,0.6479,-1.0175,-0.4695,-0.8623,-0.4147,-0.2413,2.7957,-0.0219,-0.1614,0
2015-06-30,0.4540,0.3832,0.7486,-0.0170,1.2616,2.1162,0.4749,0.2339,0.1427,-0.4285,-0.8226,0.6943,0.4280,1.9533,0.4830,0.1333,0.9385,0.0550,1.0573,0.2488,0.2122,-0.3476,0.5323,0.6371,3.0164,0.2118,0.5686,0
2015-09-30,0.5078,0.5407,0.7719,0.0068,0.9850,2.5204,0.4147,0.3673,0.0563,-0.1203,-0.1079,0.7722,0.2838,0.6750,0.2030,0.3822,1.3502,0.1004,0.6977,0.5396,0.5440,-0.0451,0.8320,0.6954,2.1921,0.3208,0.5174,0
2015-12-31,0.9382,0.7168,0.4887,0.0011,0.7798,3.0147,0.2013,0.3198,-0.2525,0.2898,-0.6011,0.5631,-0.8115,-1.1763,0.4531,0.4062,1.1188,0.0480,0.3288,0.6956,0.4363,0.3259,1.0431,0.4847,1.4770,0.3481,0.4862,0
2016-03-31,0.1569,0.8030,0.2912,-0.2356,-0.1912,1.7744,-0.2209,0.0595,-1.0048,0.2898,0.7139,0.3105,-0.5542,-2.0689,0.7521,0.4518,-0.1394,-0.1576,-0.1831,0.7802,-0.0586,-0.2176,1.0954,-0.3051,0.5572,0.1294,0.2006,0
2016-06-30,0.6769,0.4643,-0.0776,0.1028,-0.0132,2.4333,0.0804,0.4369,0.1358,0.5362,-0.8021,0.5977,-1.4673,-1.2298,0.9860,0.3814,0.0028,0.2312,0.2931,0.6509,0.0650,0.4072,1.0256,0.1685,0.0025,0.5261,0.5381,0
2016-09-30,0.5977,0.3513,0.0277,0.1371,0.5261,2.7818,0.3803,0.4609,0.7351,0.1350,0.8029,0.6308,0.4488,-0.6836,0.7914,0.5314,0.9663,0.1440,0.2024,0.6158,-0.0546,0.5906,0.1961,-0.0858,-0.1295,0.6446,0.5396,0
2016-12-31,0.4260,-0.5438,-0.4093,0.1241,0.5494,3.1009,0.4010,0.4077,1.1810,0.0539,0.0009,0.7788,0.5884,0.0052,0.1119,0.1901,0.4766,0.0553,0.5877,0.1273,-0.6337,0.1985,-0.2976,0.2020,-1.0816,0.6596,0.4266,0
2017-03-31,0.7211,-0.3062,-0.4383,0.3320,0.6602,1.7932,0.7331,0.1809,2.5833,-0.0671,1.1836,0.4897,1.2402,0.3518,0.3842,0.4423,0.5934,0.6637,0.8616,0.1774,-0.6145,1.2212,-0.9861,0.7533,-1.1119,0.3884,0.3227,0
